IVL,SL,IVR,SR,Group,SL_Audio,SR_Audio
0,šzarāč,L0,yrexim,1,šzarāč.mp3,yrexim.mp3
3,prekāz,1,bfekāz,1,prekāz.mp3,bfekāz.mp3
0,šzobif,-1,fpekāz,1,šzobif.mp3,fpekāz.mp3
H-1,njobif,-3,ypobif,1,njobif.mp3,ypobif.mp3
0,čjekāz,H-3,ydekāz,1,čjekāz.mp3,ydekāz.mp3
1,bfesāv,-1,mfobif,1,bfesāv.mp3,mfobif.mp3
L0,mnesāv,0,dpexim,1,mnesāv.mp3,dpexim.mp3
3,byovap,0,čjesāv,1,byovap.mp3,čjesāv.mp3
-2,mkobif,L0,yrexim,1,mkobif.mp3,yrexim.mp3
H-2,ndapid,3,plapid,1,ndapid.mp3,plapid.mp3
H+3,qlarāč,H-3,ydekāz,1,qlarāč.mp3,ydekāz.mp3
2,črobif,-3,yqazuf,1,črobif.mp3,yqazuf.mp3
2,dmazuf,L+2,fyarāč,1,dmazuf.mp3,fyarāč.mp3
L-1,fqexim,L-3,l?ovap,1,fqexim.mp3,l-ovap.mp3
H-3,rdapid,-3,ypobif,1,rdapid.mp3,ypobif.mp3
2,črarāč,-1,mfarāč,1,črarāč.mp3,mfarāč.mp3
-1,mčovap,1,kžovap,1,mčovap.mp3,kžovap.mp3
-2,mkarāč,3,presāv,1,mkarāč.mp3,presāv.mp3
H-3,ydesāv,3,plexim,1,ydesāv.mp3,plexim.mp3
L+1,fnarāč,-2,lzazuf,1,fnarāč.mp3,lzazuf.mp3
L+2,fyobif,L-2,mdazuf,1,fyobif.mp3,mdazuf.mp3
L+3,?yesāv,H+3,trovap,1,-yesāv.mp3,trovap.mp3
H-3,ydekāz,L+1,fnobif,1,ydekāz.mp3,fnobif.mp3
-2,mkarāč,-3,yqovap,1,mkarāč.mp3,yqovap.mp3
L+3,?yesāv,H+2,hrexim,1,-yesāv.mp3,hrexim.mp3
-2,mkobif,H+3,qlarāč,1,mkobif.mp3,qlarāč.mp3
3,plexim,H+1,smapid,1,plexim.mp3,smapid.mp3
1,kžovap,1,bfekāz,1,kžovap.mp3,bfekāz.mp3
L+2,xlazuf,L-2,lsarāč,2,xlazuf.mp3,lsarāč.mp3
H+1,ksekāz,L-2,mdovap,2,ksekāz.mp3,mdovap.mp3
-3,yqazuf,2,šlapid,2,yqazuf.mp3,šlapid.mp3
0,čjesāv,L-1,ymekāz,2,čjesāv.mp3,ymekāz.mp3
L+1,fnobif,L+2,fyobif,2,fnobif.mp3,fyobif.mp3
0,čjekāz,0,šzarāč,2,čjekāz.mp3,šzarāč.mp3
H+2,kmekāz,3,prekāz,2,kmekāz.mp3,prekāz.mp3
-2,mkobif,H-3,ydekāz,2,mkobif.mp3,ydekāz.mp3
L-2,lsarāč,2,črobif,2,lsarāč.mp3,črobif.mp3
3,byazuf,-2,ržesāv,2,byazuf.mp3,ržesāv.mp3
H+3,trazuf,2,pnesāv,2,trazuf.mp3,pnesāv.mp3
-1,mčazuf,-2,lzovap,2,mčazuf.mp3,lzovap.mp3
3,plapid,L+2,xlovap,2,plapid.mp3,xlovap.mp3
L0,mnesāv,-2,rhexim,2,mnesāv.mp3,rhexim.mp3
L+1,fnobif,L+1,dsovap,2,fnobif.mp3,dsovap.mp3
L+2,xlazuf,0,nmovap,2,xlazuf.mp3,nmovap.mp3
-2,lzovap,L+2,fyobif,2,lzovap.mp3,fyobif.mp3
L-3,y?obif,L0,yrapid,2,y-obif.mp3,yrapid.mp3
L-2,mdovap,H-2,rzekāz,2,mdovap.mp3,rzekāz.mp3
L-3,l?ovap,-3,rpesāv,2,l-ovap.mp3,rpesāv.mp3
1,bfekāz,L+2,xlovap,2,bfekāz.mp3,xlovap.mp3
1,myarāč,L+3,dlexim,2,myarāč.mp3,dlexim.mp3
2,pnesāv,H+1,ksesāv,2,pnesāv.mp3,ksesāv.mp3
L+1,fnarāč,H0,qtazuf,2,fnarāč.mp3,qtazuf.mp3
2,šlexim,2,črarāč,2,šlexim.mp3,črarāč.mp3
-3,yqovap,L-2,mdazuf,2,yqovap.mp3,mdazuf.mp3
H-3,rdexim,H-1,njarāč,2,rdexim.mp3,njarāč.mp3
-2,rhapid,L-2,mdovap,2,rhapid.mp3,mdovap.mp3
0,šzobif,2,šlexim,2,šzobif.mp3,šlexim.mp3
1,bfesāv,-2,lzazuf,2,bfesāv.mp3,lzazuf.mp3
-3,yparāč,3,presāv,2,yparāč.mp3,presāv.mp3
H0,fšobif,H+2,hrapid,2,fšobif.mp3,hrapid.mp3
L+3,dlapid,0,dpexim,2,dlapid.mp3,dpexim.mp3
2,dmovap,H+1,ksekāz,2,dmovap.mp3,ksekāz.mp3
1,jnexim,L+1,dsovap,2,jnexim.mp3,dsovap.mp3
0,šzarāč,H0,qtazuf,2,šzarāč.mp3,qtazuf.mp3
H+2,hrexim,H-1,njobif,2,hrexim.mp3,njobif.mp3
L0,yrexim,3,plapid,2,yrexim.mp3,plapid.mp3
1,bfesāv,0,nmazuf,2,bfesāv.mp3,nmazuf.mp3
0,čjesāv,-3,yqovap,2,čjesāv.mp3,yqovap.mp3
L+1,fnarāč,L0,mnesāv,2,fnarāč.mp3,mnesāv.mp3
L-1,fqexim,2,šlexim,2,fqexim.mp3,šlexim.mp3
L+3,dlexim,2,črarāč,2,dlexim.mp3,črarāč.mp3
H+1,smapid,2,pnekāz,2,smapid.mp3,pnekāz.mp3
0,dpapid,H+1,smapid,2,dpapid.mp3,smapid.mp3
0,šzarāč,H+1,ksesāv,2,šzarāč.mp3,ksesāv.mp3
L-2,lsarāč,H-1,njarāč,2,lsarāč.mp3,njarāč.mp3
-1,čbapid,L-1,fqexim,2,čbapid.mp3,fqexim.mp3
3,plapid,-3,ypobif,2,plapid.mp3,ypobif.mp3
L0,yrexim,H-2,ndexim,2,yrexim.mp3,ndexim.mp3
2,pnesāv,-3,yqazuf,2,pnesāv.mp3,yqazuf.mp3
H-1,njarāč,L+3,dlapid,2,njarāč.mp3,dlapid.mp3
H+1,smexim,L+1,fnobif,2,smexim.mp3,fnobif.mp3
2,šlexim,H+1,smexim,2,šlexim.mp3,smexim.mp3
1,bfekāz,H+3,qlobif,2,bfekāz.mp3,qlobif.mp3
H+1,ksekāz,H-3,ydekāz,2,ksekāz.mp3,ydekāz.mp3
H+2,kmesāv,L0,yrapid,3,kmesāv.mp3,yrapid.mp3
L0,mnesāv,1,myobif,3,mnesāv.mp3,myobif.mp3
H-2,ndapid,L+3,dlexim,3,ndapid.mp3,dlexim.mp3
H+1,ksekāz,L0,mnesāv,3,ksekāz.mp3,mnesāv.mp3
H+3,trazuf,-1,čbapid,3,trazuf.mp3,čbapid.mp3
L-2,mdovap,L+3,dlexim,3,mdovap.mp3,dlexim.mp3
1,myobif,3,plapid,3,myobif.mp3,plapid.mp3
-3,rpekāz,0,šzobif,3,rpekāz.mp3,šzobif.mp3
1,kžazuf,L+2,xlazuf,3,kžazuf.mp3,xlazuf.mp3
L-1,fqapid,-2,ržekāz,3,fqapid.mp3,ržekāz.mp3
L-1,ymekāz,H+2,hrexim,3,ymekāz.mp3,hrexim.mp3
H0,qtazuf,H-2,ndapid,3,qtazuf.mp3,ndapid.mp3
L+2,xlovap,L-3,y?arāč,3,xlovap.mp3,y-arāč.mp3
L0,mnekāz,-1,fpekāz,3,mnekāz.mp3,fpekāz.mp3
-3,rpekāz,-1,mčovap,3,rpekāz.mp3,mčovap.mp3
L-1,ymekāz,-3,rpekāz,3,ymekāz.mp3,rpekāz.mp3
L+1,dsazuf,L+3,dlapid,3,dsazuf.mp3,dlapid.mp3
-1,mčazuf,1,myobif,3,mčazuf.mp3,myobif.mp3
-2,rhapid,L-1,fqexim,3,rhapid.mp3,fqexim.mp3
3,plexim,2,črobif,3,plexim.mp3,črobif.mp3
3,plapid,-2,lzazuf,3,plapid.mp3,lzazuf.mp3
H+2,hrapid,L-3,y?obif,3,hrapid.mp3,y-obif.mp3
0,šzobif,-3,lgapid,3,šzobif.mp3,lgapid.mp3
-3,yqovap,H-1,njarāč,3,yqovap.mp3,njarāč.mp3
L-2,mdazuf,-3,lgapid,3,mdazuf.mp3,lgapid.mp3
H0,qtazuf,L-2,mdazuf,3,qtazuf.mp3,mdazuf.mp3
2,šlexim,L-1,ymesāv,3,šlexim.mp3,ymesāv.mp3
H-2,rzekāz,H-2,ndexim,3,rzekāz.mp3,ndexim.mp3
-3,lgapid,-2,mkobif,3,lgapid.mp3,mkobif.mp3
L+1,dsovap,L-2,lsarāč,3,dsovap.mp3,lsarāč.mp3
0,čjekāz,L-2,lsarāč,3,čjekāz.mp3,lsarāč.mp3
H+3,qlarāč,L+1,dsovap,3,qlarāč.mp3,dsovap.mp3
1,bfesāv,H-3,ydekāz,3,bfesāv.mp3,ydekāz.mp3
-3,yqovap,3,presāv,3,yqovap.mp3,presāv.mp3
2,črarāč,H+3,qlarāč,3,črarāč.mp3,qlarāč.mp3
H-1,njarāč,-3,rpesāv,3,njarāč.mp3,rpesāv.mp3
H+1,ksesāv,-1,mfarāč,3,ksesāv.mp3,mfarāč.mp3
1,bfesāv,-1,čbexim,3,bfesāv.mp3,čbexim.mp3
L0,mnekāz,L+1,fnarāč,3,mnekāz.mp3,fnarāč.mp3
H0,qtovap,H-1,njarāč,3,qtovap.mp3,njarāč.mp3
1,jnapid,-3,yqazuf,3,jnapid.mp3,yqazuf.mp3
1,myobif,-1,mčovap,3,myobif.mp3,mčovap.mp3
L-3,l?ovap,3,plexim,3,l-ovap.mp3,plexim.mp3
L-2,mdovap,3,byovap,3,mdovap.mp3,byovap.mp3
H+1,ksekāz,0,šzarāč,3,ksekāz.mp3,šzarāč.mp3
-3,lgexim,-2,rhexim,3,lgexim.mp3,rhexim.mp3
0,nmovap,-2,lzazuf,3,nmovap.mp3,lzazuf.mp3
2,dmazuf,H-1,stazuf,3,dmazuf.mp3,stazuf.mp3
L+1,fnarāč,H0,fšarāč,3,fnarāč.mp3,fšarāč.mp3
0,dpapid,-1,mfobif,3,dpapid.mp3,mfobif.mp3
1,kžovap,-2,rhexim,3,kžovap.mp3,rhexim.mp3
H-3,rdexim,-3,yqazuf,3,rdexim.mp3,yqazuf.mp3
0,nmazuf,H0,fšobif,3,nmazuf.mp3,fšobif.mp3
L+3,dlapid,3,kyobif,3,dlapid.mp3,kyobif.mp3
1,jnapid,L-1,ymekāz,3,jnapid.mp3,ymekāz.mp3
H+1,smapid,-1,mčazuf,3,smapid.mp3,mčazuf.mp3
L+2,fyobif,2,črobif,4,fyobif.mp3,črobif.mp3
H+3,trovap,H+1,ksekāz,4,trovap.mp3,ksekāz.mp3
0,dpapid,L+2,xlazuf,4,dpapid.mp3,xlazuf.mp3
2,dmazuf,H+2,hrapid,4,dmazuf.mp3,hrapid.mp3
L+1,dsovap,-2,lzazuf,4,dsovap.mp3,lzazuf.mp3
-3,yqovap,2,šlexim,4,yqovap.mp3,šlexim.mp3
H+1,smapid,0,nmazuf,4,smapid.mp3,nmazuf.mp3
L+1,fnarāč,-3,yparāč,4,fnarāč.mp3,yparāč.mp3
L-3,l?azuf,H+1,smapid,4,l-azuf.mp3,smapid.mp3
H-3,ydekāz,-2,mkarāč,4,ydekāz.mp3,mkarāč.mp3
0,nmovap,H+1,smexim,4,nmovap.mp3,smexim.mp3
H+2,kmesāv,-1,fpekāz,4,kmesāv.mp3,fpekāz.mp3
L+3,dlexim,0,dpapid,4,dlexim.mp3,dpapid.mp3
H+1,ksesāv,1,kžovap,4,ksesāv.mp3,kžovap.mp3
0,čjesāv,1,jnexim,4,čjesāv.mp3,jnexim.mp3
